"maxVal"	"cluster"	"correct"	"trueCluster"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"
"dlbcl_ls2154"	0.246	1	TRUE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
"dlbcl_ricover_181"	0.268	1	TRUE	1	0	3	2	0	0	1	0	0	0	0	4	2	1	4	5	0	0	2
"dlbcl_ricover_910"	0.3224	2	FALSE	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
"dlbcl_ls2367"	0.3958	1	TRUE	1	0	5	2	0	0	1	2	0	0	2	0	0	1	4	5	0	0	2
"dfcidl001_dt"	0.4022	1	TRUE	1	0	7	0	2	0	0	2	0	0	2	2	0	2	2	4	0	0	0
"dlbcl_ls3809"	0.4054	1	TRUE	1	1	3	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4
"dlbcl_ricover_473"	0.4436	1	TRUE	1	0	4	2	0	0	0	0	0	0	0	6	2	2	0	4	0	0	2
"dlbcl_c_d_1146_nullpair"	0.4486	5	FALSE	1	0	6	0	2	0	0	1	0	0	0	0	0	1	2	5	0	0	0
"dlbcl_c_d_1106_nullpair"	0.4588	3	FALSE	1	0	9	2	0	1	0	0	0	0	0	4	0	2	0	2	0	0	0
"dlbcl_ls1757"	0.483	1	TRUE	1	0	7	0	0	0	0	4	0	1	0	2	2	0	4	4	0	2	2
"dfcidl004_dt"	0.4832	4	FALSE	1	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	0	4
"dlbcl_ricover_826"	0.5106	5	FALSE	1	0	5	1	0	0	0	2	0	1	2	2	0	2	2	8	0	0	2
"dlbcl_ricover_1144"	0.5526	1	TRUE	1	0	1	0	0	0	0	2	0	0	0	2	0	2	2	6	2	2	4
"dlbcl_mc_f139_ad"	0.5668	5	FALSE	1	0	1	0	0	0	0	2	0	2	2	2	0	4	0	12	0	0	0
"dlbcl_ls3866"	0.5668	1	TRUE	1	0	1	0	0	0	0	0	0	0	0	2	0	2	2	4	0	0	0
"dlbcl_mc_f132_mlm"	0.5826	1	TRUE	1	0	1	0	0	0	0	0	0	0	0	4	0	2	2	4	0	2	4
"dlbcl_ricover_1150"	0.5856	1	TRUE	1	1	4	2	0	0	1	2	0	0	0	0	0	1	2	3	0	0	2
"dlbcl_mc_f648_jkw"	0.601	1	TRUE	1	0	4	2	0	0	0	2	0	2	0	0	0	0	2	4	0	0	0
"dlbcl_c_d_1112_nullpair"	0.6254	1	TRUE	1	1	3	2	0	0	0	2	0	0	0	0	2	0	2	2	0	0	0
"dlbcl_ricover_120"	0.6334	1	TRUE	1	0	4	2	0	0	0	2	0	0	0	2	2	0	0	0	0	0	2
"dlbcl_ls2978"	0.6354	1	TRUE	1	0	6	0	2	0	0	4	0	2	0	0	0	4	0	4	0	2	2
