"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"	"COO..GCB.1.unclass.2.ABC.3.na."
"dlbcl_c_d_1112_nullpair"	0.303	2	FALSE	1	3	0	0	2	1	0	3	0	0	2	0	0	2	2	0	0	2	0	0	0	0	"1"
"dlbcl_c_d_1154_nullpair"	0.3546	1	TRUE	1	3	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"3"
"dlbcl_ls2154"	0.3662	2	FALSE	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	"3"
"dlbcl_ricover_910"	0.3726	2	FALSE	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	"3"
"dlbcl_ls3866"	0.3922	5	FALSE	1	0	0	2	0	0	0	1	0	0	0	0	2	2	4	0	0	0	0	0	0	0	"1"
"dlbcl_ricover_473"	0.404	4	FALSE	1	0	0	6	0	0	0	4	0	0	2	0	2	0	4	0	0	2	0	0	2	0	"3"
"dlbcl_c_d_1106_nullpair"	0.4382	3	FALSE	1	0	3	4	0	0	0	9	0	0	0	0	2	0	2	0	0	2	0	0	0	1	"2"
"dlbcl_c_d_1146_nullpair"	0.4462	3	FALSE	1	3	0	0	1	0	3	9	0	0	0	0	1	2	5	0	0	0	0	2	0	0	"1"
"dlbcl_mc_f139_ad"	0.452	1	TRUE	1	0	3	2	2	0	0	1	2	0	0	2	4	0	12	0	0	0	0	0	0	0	"3"
"dlbcl_ls2367"	0.4812	1	TRUE	1	0	3	0	2	0	0	5	0	0	0	2	1	4	5	1	0	2	0	0	2	0	"1"
"dlbcl_ls3809"	0.4914	1	TRUE	1	0	3	0	2	1	0	3	0	0	0	0	0	0	0	1	0	2	0	0	4	0	"3"
"dlbcl_ricover_478"	0.5888	4	FALSE	1	0	0	2	0	0	0	6	0	0	0	0	0	0	0	1	0	4	2	0	2	0	"2"
"dlbcl_ricover_181"	0.5952	1	TRUE	1	0	3	4	0	0	0	3	0	0	2	0	1	4	5	1	0	2	0	0	2	0	"2"
"dlbcl_ricover_575"	0.6038	1	TRUE	1	0	0	2	4	0	0	3	0	0	0	2	2	0	4	0	0	1	0	0	0	0	"3"
"dlbcl_c_d_1132_nullpair"	0.6408	1	TRUE	1	0	0	2	2	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0	"3"
"dlbcl_ricover_826"	0.6486	1	TRUE	1	0	3	2	2	0	0	5	1	0	0	2	2	2	8	0	0	1	0	0	2	0	"3"
"dlbcl_ricover_1144"	0.6608	1	TRUE	1	0	3	2	2	0	0	1	0	0	0	0	2	2	6	0	2	0	2	0	4	0	"3"
"dlbcl_ricover_865"	0.6666	1	TRUE	1	0	3	4	5	0	3	8	1	0	0	1	2	3	5	0	0	2	0	0	0	0	"3"
"dlbcl_bwh_dlbcl64"	0.679	5	FALSE	1	0	3	0	0	0	0	8	0	0	2	0	6	4	10	0	0	0	0	2	0	0	"1"
"dlbcl_c_d_1128_nullpair"	0.6792	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2"
"dlbcl_mc_f132_mlm"	0.6876	1	TRUE	1	0	3	4	0	0	0	1	0	0	0	0	2	2	4	0	0	0	2	0	4	0	"3"
"dlbcl_ricover_120"	0.6918	1	TRUE	1	0	3	2	2	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	2	0	"3"
"dlbcl_ls2978"	0.6924	1	TRUE	1	3	3	0	4	0	0	6	2	0	0	0	4	0	4	0	0	0	2	2	2	0	"3"
"dlbcl_mc_f648_jkw"	0.708	1	TRUE	1	0	3	0	2	0	0	4	2	0	0	0	0	2	4	0	0	2	0	0	0	0	"3"
"dlbcl_ricover_1150"	0.714	1	TRUE	1	0	3	0	5	1	0	4	0	0	0	0	1	2	3	1	0	2	0	0	2	0	"3"
"dlbcl_ricover_694"	0.7144	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	"2"
"dlbcl_c_d_1155_nullpair"	0.7358	1	TRUE	1	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	"3"
"dlbcl_ls1757"	0.793	1	TRUE	1	3	3	2	4	0	0	7	1	0	2	0	0	4	4	0	0	0	2	0	2	0	"2"
"dlbcl_ricover_290"	0.8064	1	TRUE	1	0	3	3	4	0	0	2	0	0	1	0	2	0	2	0	0	1	2	1	2	0	"3"
"dlbcl_c_d_1114_nullpair"	0.8306	1	TRUE	1	0	3	0	2	0	0	2	0	0	0	0	4	0	4	0	0	0	2	0	2	0	"3"
"dlbcl_ls378"	0.8316	1	TRUE	1	0	3	2	2	0	0	3	0	0	2	0	3	0	3	0	0	0	2	0	2	0	"2"
"dlbcl_mayo_dlbcl_5613"	0.8316	1	TRUE	1	0	3	2	2	0	0	3	0	0	0	0	0	2	2	0	0	2	0	0	0	0	"3"
"dlbcl_c_d_1130_nullpair"	0.9166	1	TRUE	1	3	3	4	2	0	0	6	0	0	1	0	2	0	2	0	0	0	0	0	0	0	"3"
"dlbcl_c_d_1123_nullpair"	0.9304	1	TRUE	1	0	3	4	5	0	0	6	0	0	0	0	2	0	4	0	0	1	0	0	0	0	"3"
"dlbcl_mc_f927_jhs"	0.2986	1	FALSE	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3"
"dlbcl_ricover_197"	0.3296	5	FALSE	2	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	"1"
"dlbcl_ls762"	0.3596	2	TRUE	2	0	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0	2	0	0	0	0	"2"
"dlbcl_mayo_dlbcl_234"	0.3624	2	TRUE	2	0	0	2	0	0	0	2	0	0	4	2	4	2	6	0	0	0	0	2	4	0	"1"
"dlbcl_ls2245"	0.3734	2	TRUE	2	0	3	0	2	0	0	11	1	5	4	0	0	4	4	0	0	1	0	1	0	0	"1"
"dlbcl_ricover_320"	0.4346	2	TRUE	2	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	"1"
"dlbcl_ls4619"	0.4414	2	TRUE	2	0	0	0	0	0	0	6	0	5	0	0	2	2	4	0	0	0	0	1	2	1	"1"
"dlbcl_ricover_978"	0.4568	2	TRUE	2	0	0	6	2	0	0	7	0	0	4	2	4	0	6	0	0	1	0	1	0	0	"1"
