"maxVal"	"cluster"	"correct"	"trueCluster"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"
"dlbcl_ricover_1081"	0.389279966398877	1	FALSE	5	0	3	0	0	0	0	2	0	0	1	2	4	1	2	7	0	0	2
"dlbcl_ricover_181"	0.427307261375514	1	TRUE	1	0	3	2	0	0	1	0	0	0	0	4	2	1	4	5	0	0	2
"dlbcl_c_d_1110_nullpair"	0.450936320490559	1	FALSE	2	0	3	2	0	0	1	0	2	0	0	4	2	5	1	6	0	0	0
"dlbcl_ricover_1144"	0.454567575632581	1	TRUE	1	0	1	0	0	0	0	2	0	0	0	2	0	2	2	6	2	2	4
"dlbcl_ricover_826"	0.493332282876389	1	TRUE	1	0	5	1	0	0	0	2	0	1	2	2	0	2	2	8	0	0	2
"dlbcl_c_d_1132_nullpair"	0.502636686243935	1	TRUE	1	0	1	0	0	0	0	2	0	0	0	2	0	0	2	5	0	0	0
"dfcidl001_dt"	0.506271410588419	1	TRUE	1	0	7	0	2	0	0	2	0	0	2	2	0	2	2	4	0	0	0
"dlbcl_c_d_1106_nullpair"	0.605868596115143	1	TRUE	1	0	9	2	0	1	0	0	0	0	0	4	0	2	0	2	0	0	0
"dlbcl_c_d_1155_nullpair"	0.60673495868242	1	TRUE	1	0	3	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_mc_f132_mlm"	0.611422932915647	1	TRUE	1	0	1	0	0	0	0	0	0	0	0	4	0	2	2	4	0	2	4
