"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"	"COO..GCB.1.unclass.2.ABC.3.na."
"dlbcl_c_d_1111_nullpair"	0.321590960025787	1	FALSE	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1"
"dlbcl_ricover_1169"	0.356778353452682	1	FALSE	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"3"
"dlbcl_ricover_1081"	0.461418867111206	1	FALSE	5	0	0	2	2	0	0	3	0	0	4	1	1	2	7	0	0	0	0	0	2	0	"1"
"dlbcl_ls2154"	0.486814856529236	1	TRUE	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	"3"
"dlbcl_c_d_1146_nullpair"	0.50309944152832	1	TRUE	1	3	0	0	1	0	3	9	0	0	0	0	1	2	5	0	0	0	0	2	0	0	"1"
"dlbcl_ricover_978"	0.539337694644928	1	FALSE	2	0	0	6	2	0	0	7	0	0	4	2	4	0	6	0	0	1	0	1	0	0	"1"
"dlbcl_c_d_1132_nullpair"	0.586030602455139	1	TRUE	1	0	0	2	2	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0	"3"
"dlbcl_ls4054"	0.625948429107666	1	FALSE	3	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	1	"3"
"dlbcl_mc_f339_jps2"	0.668782114982605	1	FALSE	4	0	0	0	5	0	0	2	0	0	0	0	1	0	1	1	0	4	0	0	4	0	"3"
"dlbcl_c_d_1154_nullpair"	0.68110054731369	1	TRUE	1	3	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"3"
"dlbcl_ricover_597"	0.685814917087555	1	FALSE	5	0	0	0	0	0	0	4	1	0	0	0	8	2	12	1	2	2	0	0	6	0	"3"
"dlbcl_ricover_711"	0.718510270118713	1	FALSE	5	0	3	0	0	0	0	11	1	0	0	0	6	2	10	0	0	0	0	2	0	0	"1"
"dlbcl_ricover_120"	0.738230168819427	1	TRUE	1	0	3	2	2	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	2	0	"3"
"dlbcl_c_d_1155_nullpair"	0.763242542743683	1	TRUE	1	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	"3"
"dlbcl_ls2367"	0.800701498985291	1	TRUE	1	0	3	0	2	0	0	5	0	0	0	2	1	4	5	1	0	2	0	0	2	0	"1"
"dlbcl_ricover_865"	0.833310842514038	1	TRUE	1	0	3	4	5	0	3	8	1	0	0	1	2	3	5	0	0	2	0	0	0	0	"3"
"dlbcl_ricover_575"	0.850867986679077	1	TRUE	1	0	0	2	4	0	0	3	0	0	0	2	2	0	4	0	0	1	0	0	0	0	"3"
"dlbcl_ricover_694"	0.855685889720917	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	"2"
"dlbcl_c_d_1128_nullpair"	0.86579293012619	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2"
"dlbcl_mc_f648_jkw"	0.868744909763336	1	TRUE	1	0	3	0	2	0	0	4	2	0	0	0	0	2	4	0	0	2	0	0	0	0	"3"
"dlbcl_ricover_1144"	0.890227615833282	1	TRUE	1	0	3	2	2	0	0	1	0	0	0	0	2	2	6	0	2	0	2	0	4	0	"3"
"dlbcl_mc_f132_mlm"	0.90619969367981	1	TRUE	1	0	3	4	0	0	0	1	0	0	0	0	2	2	4	0	0	0	2	0	4	0	"3"
"dlbcl_c_d_1114_nullpair"	0.910410761833191	1	TRUE	1	0	3	0	2	0	0	2	0	0	0	0	4	0	4	0	0	0	2	0	2	0	"3"
"dlbcl_ricover_826"	0.910974979400635	1	TRUE	1	0	3	2	2	0	0	5	1	0	0	2	2	2	8	0	0	1	0	0	2	0	"3"
"dlbcl_c_d_1123_nullpair"	0.917818486690521	1	TRUE	1	0	3	4	5	0	0	6	0	0	0	0	2	0	4	0	0	1	0	0	0	0	"3"
