"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"
"dlbcl_c_d_1112_nullpair"	0.3126	3	FALSE	1	3	0	0	2	1	0	3	0	0	2	0	0	2	2	0	0	2	0	0	0	0
"dlbcl_c_d_1154_nullpair"	0.3488	1	TRUE	1	3	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"dlbcl_c_d_1146_nullpair"	0.3606	3	FALSE	1	3	0	0	1	0	3	9	0	0	0	0	1	2	5	0	0	0	0	2	0	0
"dlbcl_ricover_910"	0.3914	2	FALSE	1	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0
"dlbcl_ls2154"	0.3916	5	FALSE	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
"dlbcl_c_d_1106_nullpair"	0.4622	1	TRUE	1	0	3	4	0	0	0	9	0	0	0	0	2	0	2	0	0	2	0	0	0	1
"dlbcl_ricover_473"	0.474	4	FALSE	1	0	0	6	0	0	0	4	0	0	2	0	2	0	4	0	0	2	0	0	2	0
"dlbcl_mc_f139_ad"	0.4882	1	TRUE	1	0	3	2	2	0	0	1	2	0	0	2	4	0	12	0	0	0	0	0	0	0
"dlbcl_ls3866"	0.4974	1	TRUE	1	0	0	2	0	0	0	1	0	0	0	0	2	2	4	0	0	0	0	0	0	0
"dlbcl_ricover_575"	0.5052	1	TRUE	1	0	0	2	4	0	0	3	0	0	0	2	2	0	4	0	0	1	0	0	0	0
"dlbcl_c_d_1132_nullpair"	0.5102	1	TRUE	1	0	0	2	2	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0
"dlbcl_ricover_181"	0.5376	1	TRUE	1	0	3	4	0	0	0	3	0	0	2	0	1	4	5	1	0	2	0	0	2	0
"dlbcl_ls3809"	0.5388	1	TRUE	1	0	3	0	2	1	0	3	0	0	0	0	0	0	0	1	0	2	0	0	4	0
"dlbcl_ricover_826"	0.631	1	TRUE	1	0	3	2	2	0	0	5	1	0	0	2	2	2	8	0	0	1	0	0	2	0
"dlbcl_ricover_1144"	0.637	1	TRUE	1	0	3	2	2	0	0	1	0	0	0	0	2	2	6	0	2	0	2	0	4	0
"dlbcl_ls2367"	0.6402	1	TRUE	1	0	3	0	2	0	0	5	0	0	0	2	1	4	5	1	0	2	0	0	2	0
"dlbcl_ricover_865"	0.665	1	TRUE	1	0	3	4	5	0	3	8	1	0	0	1	2	3	5	0	0	2	0	0	0	0
"dlbcl_c_d_1155_nullpair"	0.6654	1	TRUE	1	0	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"dlbcl_bwh_dlbcl64"	0.6656	5	FALSE	1	0	3	0	0	0	0	8	0	0	2	0	6	4	10	0	0	0	0	2	0	0
"dlbcl_ls2978"	0.6794	1	TRUE	1	3	3	0	4	0	0	6	2	0	0	0	4	0	4	0	0	0	2	2	2	0
"dlbcl_mc_f132_mlm"	0.693	1	TRUE	1	0	3	4	0	0	0	1	0	0	0	0	2	2	4	0	0	0	2	0	4	0
"dlbcl_mc_f648_jkw"	0.7338	1	TRUE	1	0	3	0	2	0	0	4	2	0	0	0	0	2	4	0	0	2	0	0	0	0
"dlbcl_ls1757"	0.7488	1	TRUE	1	3	3	2	4	0	0	7	1	0	2	0	0	4	4	0	0	0	2	0	2	0
"dlbcl_ricover_1150"	0.7524	1	TRUE	1	0	3	0	5	1	0	4	0	0	0	0	1	2	3	1	0	2	0	0	2	0
"dlbcl_ricover_290"	0.7564	1	TRUE	1	0	3	3	4	0	0	2	0	0	1	0	2	0	2	0	0	1	2	1	2	0
"dlbcl_ricover_120"	0.7594	1	TRUE	1	0	3	2	2	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	2	0
"dlbcl_c_d_1128_nullpair"	0.7728	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
