"maxVal"	"cluster"	"correct"	"trueCluster"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"
"dlbcl_ricover_787"	0.390778839588165	1	FALSE	3	0	9	0	0	0	0	0	0	0	2	2	0	0	6	6	0	0	0
"dlbcl_ls2367"	0.476800590753555	1	TRUE	1	0	5	2	0	0	1	2	0	0	2	0	0	1	4	5	0	0	2
"dlbcl_ricover_181"	0.487387627363205	1	TRUE	1	0	3	2	0	0	1	0	0	0	0	4	2	1	4	5	0	0	2
"dlbcl_c_d_1110_nullpair"	0.488023966550827	1	FALSE	2	0	3	2	0	0	1	0	2	0	0	4	2	5	1	6	0	0	0
"dlbcl_c_d_1112_nullpair"	0.5153968334198	1	TRUE	1	1	3	2	0	0	0	2	0	0	0	0	2	0	2	2	0	0	0
"dlbcl_mc_f648_jkw"	0.525061905384064	1	TRUE	1	0	4	2	0	0	0	2	0	2	0	0	0	0	2	4	0	0	0
"dlbcl_ricover_1060"	0.529725551605225	1	FALSE	3	0	4	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_1150"	0.548067271709442	1	TRUE	1	1	4	2	0	0	1	2	0	0	0	0	0	1	2	3	0	0	2
"dlbcl_ricover_473"	0.583471119403839	1	TRUE	1	0	4	2	0	0	0	0	0	0	0	6	2	2	0	4	0	0	2
"dlbcl_ricover_1081"	0.596633613109589	1	FALSE	5	0	3	0	0	0	0	2	0	0	1	2	4	1	2	7	0	0	2
"dfcidl001_dt"	0.62813812494278	1	TRUE	1	0	7	0	2	0	0	2	0	0	2	2	0	2	2	4	0	0	0
"dlbcl_c_d_1105_nullpair"	0.686967432498932	1	FALSE	4	0	4	2	0	0	0	0	0	1	0	4	2	1	0	1	0	0	2
"dlbcl_c_d_1154_nullpair"	0.706181764602661	1	TRUE	1	0	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_c_d_1155_nullpair"	0.731128692626953	1	TRUE	1	0	3	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"dfcidl004_dt"	0.784793853759766	1	TRUE	1	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	0	0	4
"dlbcl_ls378"	0.813462018966675	1	TRUE	1	0	3	0	0	0	0	2	0	0	0	2	2	3	0	3	0	2	2
"dlbcl_ricover_120"	0.836495518684387	1	TRUE	1	0	4	2	0	0	0	2	0	0	0	2	2	0	0	0	0	0	2
"dlbcl_ricover_575"	0.843048989772797	1	TRUE	1	0	3	1	0	0	0	4	0	0	2	2	0	2	0	4	0	0	0
"dlbcl_ricover_826"	0.847725033760071	1	TRUE	1	0	5	1	0	0	0	2	0	1	2	2	0	2	2	8	0	0	2
"dlbcl_ls1757"	0.848761320114136	1	TRUE	1	0	7	0	0	0	0	4	0	1	0	2	2	0	4	4	0	2	2
"dlbcl_mayo_dlbcl_5613"	0.852514922618866	1	TRUE	1	0	3	2	0	0	0	2	0	0	0	2	0	0	2	2	0	0	0
"dfcidl010_dt"	0.854976117610931	1	TRUE	1	0	2	0	0	0	0	4	0	0	0	2	0	2	2	4	0	0	0
"dlbcl_ricover_865"	0.858067750930786	1	TRUE	1	0	5	2	0	0	0	2	0	1	1	4	0	2	3	5	0	0	0
"dlbcl_ricover_829"	0.874575674533844	1	TRUE	1	0	5	2	0	0	0	2	0	2	0	4	0	1	0	4	0	2	5
