"X1"	"X2"	"X3"	"X4"	"X5"	"maxvals"	"predicted"	"actual"
"DLBCL_C_D_1128_NULLPAIR"	0.579818181818182	0.173818181818182	0.0827272727272727	0.0709090909090909	0.0927272727272727	0.579818181818182	1	1
"DLBCL_C_D_1155_NULLPAIR"	0.643636363636364	0.0790909090909091	0.173818181818182	0.0587272727272727	0.0447272727272727	0.643636363636364	1	1
"DLBCL_RICOVER_694"	0.707454545454545	0.100909090909091	0.0538181818181818	0.0387272727272727	0.0990909090909091	0.707454545454545	1	1
"DLBCL_RICOVER_120"	0.739636363636364	0.0149090909090909	0.0669090909090909	0.173090909090909	0.00545454545454545	0.739636363636364	1	1
"DLBCL_LS2154"	0.206727272727273	0.269818181818182	0.190909090909091	0.127636363636364	0.204909090909091	0.269818181818182	2	1
"DLBCL_MC_F344_CJS"	0.036	0.548545454545455	0.0518181818181818	0.00709090909090909	0.356545454545455	0.548545454545455	2	2
"DLBCL_RICOVER_111"	0.180181818181818	0.555454545454545	0.113272727272727	0.125636363636364	0.0254545454545455	0.555454545454545	2	2
"DLBCL_C_D_1141_NULLPAIR"	0.068	0.561454545454545	0.218181818181818	0.109818181818182	0.0425454545454545	0.561454545454545	2	2
"DLBCL_LS1395"	0.0401818181818182	0.572363636363636	0.289454545454545	0.0441818181818182	0.0538181818181818	0.572363636363636	2	2
"DLBCL_RICOVER_342"	0.0941818181818182	0.581454545454545	0.0343636363636364	0.00527272727272727	0.284727272727273	0.581454545454545	2	5
"DLBCL_RICOVER_469"	0.141454545454545	0.697272727272727	0.04	0.0227272727272727	0.0985454545454545	0.697272727272727	2	2
"DLBCL_MC_F358_WDS"	0.0278181818181818	0.887636363636364	0.0281818181818182	0.00181818181818182	0.0545454545454545	0.887636363636364	2	2
"DLBCL_RICOVER_408"	0.114363636363636	0.352909090909091	0.364363636363636	0.0556363636363636	0.112727272727273	0.364363636363636	3	5
"DLBCL_RICOVER_850"	0.166909090909091	0.04	0.400181818181818	0.373818181818182	0.0190909090909091	0.400181818181818	3	4
"DLBCL_LS1921"	0.0490909090909091	0.248	0.422181818181818	0.00745454545454545	0.273272727272727	0.422181818181818	3	3
"DLBCL_LS3204"	0.299454545454545	0.109272727272727	0.438181818181818	0.0123636363636364	0.140727272727273	0.438181818181818	3	3
"DLBCL_RICOVER_1018"	0.048	0.0234545454545455	0.475818181818182	0.122545454545455	0.330181818181818	0.475818181818182	3	5
"DLBCL_RICOVER_780"	0.0381818181818182	0.369818181818182	0.49	0.0569090909090909	0.0450909090909091	0.49	3	3
"DLBCL_RICOVER_623"	0.0829090909090909	0.247272727272727	0.550363636363636	0.0718181818181818	0.0476363636363636	0.550363636363636	3	3
"DLBCL_RICOVER_299"	0.0172727272727273	0.215454545454545	0.710181818181818	0.0427272727272727	0.0143636363636364	0.710181818181818	3	3
"DLBCL_RICOVER_335"	0.0465454545454545	0.0238181818181818	0.758909090909091	0.00890909090909091	0.161818181818182	0.758909090909091	3	3
"DLBCL_RICOVER_253"	0.0987272727272727	0.0798181818181818	0.762909090909091	0.0307272727272727	0.0278181818181818	0.762909090909091	3	3
"DLBCL_C_D_1140_NULLPAIR"	0.086	0.308727272727273	0.109454545454545	0.4	0.0958181818181818	0.4	4	4
"DLBCL_RICOVER_473"	0.352363636363636	0.102	0.0854545454545454	0.405818181818182	0.0543636363636364	0.405818181818182	4	1
"DLBCL_C_D_1142_NULLPAIR"	0.113272727272727	0.218181818181818	0.117454545454545	0.453636363636364	0.0974545454545455	0.453636363636364	4	4
"DLBCL_RICOVER_173"	0.271454545454545	0.116	0.0787272727272727	0.453636363636364	0.0801818181818182	0.453636363636364	4	4
"DLBCL_RICOVER_1032"	0.0332727272727273	0.0201818181818182	0.414545454545455	0.497090909090909	0.0349090909090909	0.497090909090909	4	4
"DLBCL_C_D_1120_NULLPAIR"	0.0665454545454545	0.188727272727273	0.113818181818182	0.608363636363636	0.0225454545454545	0.608363636363636	4	4
"DLBCL_RICOVER_585"	0.241454545454545	0.00454545454545455	0.126181818181818	0.619818181818182	0.008	0.619818181818182	4	4
"DLBCL_C_D_1153_NULLPAIR"	0.0974545454545455	0.0996363636363636	0.185454545454545	0.0547272727272727	0.562727272727273	0.562727272727273	5	5
"DLBCL_RICOVER_617"	0.173636363636364	0.191090909090909	0.0610909090909091	0.00345454545454545	0.570727272727273	0.570727272727273	5	5
"DLBCL_RICOVER_701"	0.0409090909090909	0.0365454545454545	0.00872727272727273	0.00254545454545455	0.911272727272727	0.911272727272727	5	5
