"maxVal"	"cluster"	"correct"	"trueCluster"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"SV.TP63"	"SV.BCL6"	"X21Q.AMP"	"SUM.CNAS.C2"	"SUMCNAS.C5"	"X2P16.1.AMP"	"X9P21.3.DEL"	"X18Q.AMP"
"dlbcl_c_d_1111_nullpair"	0.268249481916428	1	FALSE	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"dlbcl_ls3809"	0.421487838029861	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	4	0	3	1	3	2	0	0	1
"dlbcl_ls4054"	0.450852513313293	1	FALSE	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0	0	1	0
"dlbcl_c_d_1132_nullpair"	0.454121261835098	1	TRUE	1	2	0	0	0	2	0	0	2	5	0	0	0	0	0	0	1	0	0	0	0
"dlbcl_c_d_1146_nullpair"	0.476374208927155	1	TRUE	1	1	0	0	0	0	0	1	2	5	0	0	0	3	0	0	6	0	2	0	0
"dlbcl_ricover_1081"	0.481489777565002	1	FALSE	5	2	0	0	1	2	4	1	2	7	0	0	2	0	0	0	3	0	0	0	0
"dlbcl_ricover_787"	0.524408042430878	1	FALSE	3	0	0	0	2	2	0	0	6	6	0	0	0	0	0	0	9	0	0	0	0
"dlbcl_c_d_1112_nullpair"	0.591042280197144	1	TRUE	1	2	0	0	0	0	2	0	2	2	0	0	0	3	0	1	3	2	0	0	0
"dlbcl_ls3204"	0.631482720375061	1	FALSE	3	2	0	0	0	0	0	2	2	4	0	0	0	0	0	1	9	0	1	0	0
"dfcidl004_dt"	0.638526678085327	1	TRUE	1	3	0	0	0	4	0	2	0	2	0	0	4	0	0	0	0	0	0	0	0
"dlbcl_ls2595"	0.655663073062897	1	TRUE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dlbcl_ricover_473"	0.69477766752243	1	TRUE	1	0	0	0	0	6	2	2	0	4	0	0	2	0	0	0	4	2	0	0	0
"dlbcl_ls3866"	0.695121705532074	1	TRUE	1	0	0	0	0	2	0	2	2	4	0	0	0	0	0	0	1	0	0	0	0
"dlbcl_mc_f139_ad"	0.745214760303497	1	TRUE	1	2	0	2	2	2	0	4	0	12	0	0	0	0	3	0	1	0	0	0	0
"dlbcl_ricover_711"	0.773494124412537	1	FALSE	5	0	0	1	0	0	0	6	2	10	0	0	0	0	3	0	11	0	2	0	0
"dlbcl_ls2367"	0.781845927238464	1	TRUE	1	2	0	0	2	0	0	1	4	5	0	0	2	0	3	0	5	2	0	0	1
