"maxVal"	"cluster"	"correct"	"trueCluster"	"SV.TP63"	"SV.BCL6"	"BLC10.NOTCH2.A20.SPEN"	"B2M.CD70.PD1.FAS.com"	"X21Q.AMP"	"GENOME_DOUBLING"	"Sum.CNAs.C2"	"TP53.biallelic"	"BCL2.comp"	"Chrom.Mod.Enzymes"	"Pi3K.Mod"	"Hist.comp"	"NFKBalt.RASalt.JAK.STAT.alt.RHOA.SGK1.KLH6.cd58.cd83"	"SumC4.mut"	"X18Q.AMP"	"MYD88.L265"	"sumCNAs.C5"	"MYD88.OTHER"	"X2P16.1.AMP"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"	"X9p21.3.DEL"
"dlbcl_ls2367"	0.377044060102482	1	TRUE	1	0	3	0	2	0	0	5	0	0	0	2	1	4	5	1	0	2	0	0	2	0
"dlbcl_c_d_1135_nullpair"	0.378410099455624	1	FALSE	3	0	3	0	3	1	0	15	2	0	2	1	6	0	6	1	0	4	0	0	0	0
"dlbcl_ricover_473"	0.385754924535707	1	TRUE	1	0	0	6	0	0	0	4	0	0	2	0	2	0	4	0	0	2	0	0	2	0
"dlbcl_c_d_1105_nullpair"	0.388684539522656	1	FALSE	4	0	0	4	0	0	0	4	1	0	2	0	1	0	1	0	0	2	0	0	2	0
"dlbcl_ricover_181"	0.404664611422213	1	TRUE	1	0	3	4	0	0	0	3	0	0	2	0	1	4	5	1	0	2	0	0	2	0
"dlbcl_c_d_1112_nullpair"	0.422090573858618	1	TRUE	1	3	0	0	2	1	0	3	0	0	2	0	0	2	2	0	0	2	0	0	0	0
"dlbcl_ricover_978"	0.446386988904746	1	FALSE	2	0	0	6	2	0	0	7	0	0	4	2	4	0	6	0	0	1	0	1	0	0
"dlbcl_ricover_826"	0.503829122943489	1	TRUE	1	0	3	2	2	0	0	5	1	0	0	2	2	2	8	0	0	1	0	0	2	0
"dlbcl_c_d_1106_nullpair"	0.609477897740809	1	TRUE	1	0	3	4	0	0	0	9	0	0	0	0	2	0	2	0	0	2	0	0	0	1
"dlbcl_ricover_1144"	0.632644266278826	1	TRUE	1	0	3	2	2	0	0	1	0	0	0	0	2	2	6	0	2	0	2	0	4	0
"dlbcl_ricover_575"	0.669533867989701	1	TRUE	1	0	0	2	4	0	0	3	0	0	0	2	2	0	4	0	0	1	0	0	0	0
"dlbcl_ricover_120"	0.671034528998785	1	TRUE	1	0	3	2	2	0	0	4	0	0	2	0	0	0	0	0	0	2	0	0	2	0
"dlbcl_mc_f648_jkw"	0.674730859958626	1	TRUE	1	0	3	0	2	0	0	4	2	0	0	0	0	2	4	0	0	2	0	0	0	0
"dlbcl_ricover_1150"	0.677153301020987	1	TRUE	1	0	3	0	5	1	0	4	0	0	0	0	1	2	3	1	0	2	0	0	2	0
"dlbcl_ls1757"	0.724600551848674	1	TRUE	1	3	3	2	4	0	0	7	1	0	2	0	0	4	4	0	0	0	2	0	2	0
"dlbcl_mc_f132_mlm"	0.787164630175369	1	TRUE	1	0	3	4	0	0	0	1	0	0	0	0	2	2	4	0	0	0	2	0	4	0
"dlbcl_ricover_694"	0.826009064922521	1	TRUE	1	0	3	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
"dlbcl_c_d_1130_nullpair"	0.826324518515373	1	TRUE	1	3	3	4	2	0	0	6	0	0	1	0	2	0	2	0	0	0	0	0	0	0
"dlbcl_ricover_865"	0.8390770623801	1	TRUE	1	0	3	4	5	0	3	8	1	0	0	1	2	3	5	0	0	2	0	0	0	0
