"SV.TP63"	"SV.BCL6"	"B2M.CD70.PD1.FAS.COM"	"BCL2.COMP"	"TP53.BIALLELIC"	"PI3K.MOD"	"BLC10.NOTCH2.A20.SPEN"	"CHROM.MOD.ENZYMES"	"HIST.COMP"	"NFKBALT.RASALT.JAK.STAT.ALT.RHOA.SGK1.KLH6.CD58.CD83"	"SUMC4.MUT"	"MYD88.L265"	"MYD88.OTHER"	"CD79B.MYD88.TBL1XR1.BLIMP.ETV6.ZC3H12A"
"DFCIDL001_DT"	0	3	5	0	0	2	2	0	2	2	4	0	0	0
"DFCIDL003_DT"	0	3	0	3	2	2	0	2	0	2	2	0	0	0
"DFCIDL004_DT"	0	0	3	0	0	0	4	0	2	0	2	0	0	4
"DFCIDL008_DT"	0	0	0	0	0	0	0	2	0	2	2	0	0	2
"DFCIDL009_DT"	0	0	0	1	0	2	0	2	0	0	0	0	0	0
"DFCIDL010_DT"	0	3	4	0	0	0	2	0	2	2	4	0	0	0
"DLBCL_BWH_DLBCL64"	0	3	0	0	0	0	0	2	6	4	10	0	0	0
"DLBCL_C_D_1103_NULLPAIR"	0	0	0	0	2	0	0	0	2	10	14	0	0	0
"DLBCL_C_D_1104_NULLPAIR"	0	0	0	0	2	0	0	0	0	0	0	2	0	4
"DLBCL_C_D_1105_NULLPAIR"	0	0	0	0	0	0	4	2	1	0	1	0	0	2
"DLBCL_C_D_1106_NULLPAIR"	0	3	0	0	0	0	4	0	2	0	2	0	0	0
"DLBCL_C_D_1107_NULLPAIR"	0	3	0	0	0	4	2	0	2	4	7	0	0	0
"DLBCL_C_D_1108_NULLPAIR"	0	0	0	0	2	0	0	0	0	0	1	0	0	0
"DLBCL_C_D_1109_NULLPAIR"	0	0	4	0	0	0	0	0	5	2	8	0	0	0
"DLBCL_C_D_1110_NULLPAIR"	0	0	0	5	0	0	4	2	5	1	6	0	0	0
"DLBCL_C_D_1111_NULLPAIR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_C_D_1112_NULLPAIR"	3	0	2	0	0	0	0	2	0	2	2	0	0	0
"DLBCL_C_D_1113_NULLPAIR"	0	0	0	0	0	2	0	2	0	0	0	0	0	0
"DLBCL_C_D_1114_NULLPAIR"	0	3	2	0	0	0	0	0	4	0	4	0	2	2
"DLBCL_C_D_1115_NULLPAIR"	0	0	3	0	0	0	0	0	2	0	4	0	0	0
"DLBCL_C_D_1117_NULLPAIR"	0	0	2	0	2	0	2	0	6	2	8	0	0	0
"DLBCL_C_D_1118_NULLPAIR"	0	3	0	0	0	0	0	0	0	0	2	0	0	1
"DLBCL_C_D_1119_NULLPAIR"	0	3	0	0	0	0	2	0	0	0	0	0	0	0
"DLBCL_C_D_1120_NULLPAIR"	0	0	0	0	0	0	0	2	0	0	0	0	0	2
"DLBCL_C_D_1121_NULLPAIR"	0	0	0	5	0	2	0	2	8	12	24	0	0	0
"DLBCL_C_D_1123_NULLPAIR"	0	3	5	0	0	0	4	0	2	0	4	0	0	0
"DLBCL_C_D_1124_NULLPAIR"	0	0	0	2	0	0	0	0	1	0	5	2	0	6
"DLBCL_C_D_1125_NULLPAIR"	0	0	0	1	0	0	0	0	0	0	2	2	0	6
"DLBCL_C_D_1126_NULLPAIR"	0	0	0	0	2	1	0	0	2	0	2	0	2	2
"DLBCL_C_D_1127_NULLPAIR"	0	0	0	5	0	2	0	4	0	0	0	0	0	0
"DLBCL_C_D_1128_NULLPAIR"	0	3	2	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_C_D_1129_NULLPAIR"	0	3	5	0	0	2	2	0	0	0	0	0	0	0
"DLBCL_C_D_1130_NULLPAIR"	3	3	2	0	0	0	4	1	2	0	2	0	0	0
"DLBCL_C_D_1131_NULLPAIR"	0	0	0	0	2	0	2	2	0	0	0	2	0	4
"DLBCL_C_D_1132_NULLPAIR"	0	0	2	0	0	0	2	0	0	2	5	0	0	0
"DLBCL_C_D_1133_NULLPAIR"	0	0	0	5	0	0	0	2	0	0	0	0	0	0
"DLBCL_C_D_1135_NULLPAIR"	0	3	3	0	2	0	0	2	6	0	6	0	0	0
"DLBCL_C_D_1136_NULLPAIR"	0	0	0	0	2	0	0	0	0	0	4	2	2	2
"DLBCL_C_D_1138_NULLPAIR"	0	0	0	0	0	4	0	0	4	0	4	0	0	0
"DLBCL_C_D_1139_NULLPAIR"	0	3	0	0	0	0	0	2	8	7	17	0	0	0
"DLBCL_C_D_1140_NULLPAIR"	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"DLBCL_C_D_1141_NULLPAIR"	0	0	0	5	0	2	2	4	0	0	0	0	0	0
"DLBCL_C_D_1142_NULLPAIR"	0	0	0	0	0	0	0	0	0	2	2	0	0	0
"DLBCL_C_D_1144_NULLPAIR"	0	0	0	0	2	0	0	0	1	2	3	0	0	4
"DLBCL_C_D_1145_NULLPAIR"	0	0	0	0	0	4	2	0	0	2	2	0	0	2
"DLBCL_C_D_1146_NULLPAIR"	3	0	1	0	0	0	0	0	1	2	5	0	0	0
"DLBCL_C_D_1148_NULLPAIR"	0	3	5	0	0	4	0	0	2	9	12	0	0	0
"DLBCL_C_D_1149_NULLPAIR"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"DLBCL_C_D_1150_NULLPAIR"	0	0	4	0	2	2	0	0	5	0	7	0	0	0
"DLBCL_C_D_1151_NULLPAIR"	0	3	2	0	2	4	0	0	3	8	13	0	0	1
"DLBCL_C_D_1152_NULLPAIR"	0	0	0	0	0	2	0	0	0	2	2	0	0	2
"DLBCL_C_D_1153_NULLPAIR"	0	0	0	0	0	0	0	0	8	2	10	0	0	0
"DLBCL_C_D_1154_NULLPAIR"	3	0	2	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_C_D_1155_NULLPAIR"	0	3	2	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_C_D_1156_NULLPAIR"	0	3	0	0	0	0	0	0	3	0	3	0	0	0
"DLBCL_C_D_1157_NULLPAIR"	0	3	0	5	0	2	0	2	1	0	1	0	0	2
"DLBCL_C_D_1158_NULLPAIR"	0	3	2	0	0	0	0	2	6	0	8	0	0	0
"DLBCL_C_D_1159_NULLPAIR"	0	3	2	0	0	0	0	0	8	2	10	0	0	2
"DLBCL_C_D_1162_NULLPAIR"	0	0	0	0	0	2	0	2	1	2	3	0	0	0
"DLBCL_C_D_1163_NULLPAIR"	0	0	0	0	0	0	0	0	2	2	6	2	0	8
"DLBCL_C_D_1166_NULLPAIR"	0	0	0	0	2	0	0	2	0	0	0	0	0	4
"DLBCL_DFCI_DLBCL_GOE05"	0	0	0	0	2	0	0	2	0	0	0	2	0	2
"DLBCL_DFCI_DLBCL_GOE07"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_DFCI_DLBCL_GOE08"	0	0	4	0	0	0	2	0	4	4	10	0	0	0
"DLBCL_DFCI_DLBCL_GOE16"	0	0	0	5	0	2	0	4	0	0	0	0	0	0
"DLBCL_LS1065"	0	0	0	0	2	0	2	0	4	0	4	0	0	0
"DLBCL_LS1098"	0	0	2	4	0	2	0	4	2	2	4	0	0	0
"DLBCL_LS1304"	0	0	0	3	0	0	0	0	0	0	0	0	0	4
"DLBCL_LS1395"	0	0	0	4	2	0	0	4	0	2	2	0	0	0
"DLBCL_LS146"	0	0	0	0	2	0	2	0	0	2	2	0	0	0
"DLBCL_LS148"	0	0	0	0	0	0	0	0	0	2	2	0	0	3
"DLBCL_LS1546"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DLBCL_LS155"	0	0	0	5	0	2	0	2	4	4	10	0	0	0
"DLBCL_LS1583"	0	0	0	0	0	0	0	2	3	0	3	2	0	4
"DLBCL_LS1620"	0	0	0	5	0	4	0	6	0	0	0	0	0	0
"DLBCL_LS1668"	0	0	0	5	2	0	2	2	6	2	12	0	0	0
